dcid,year,unemploymentPercentOfLaborForce
country/BRB,2011,11.15
country/BRB,2012,11.5
country/BRB,2013,11.625
country/BRB,2014,12.275
country/BRB,2015,11.3
country/BRB,2016,9.65
country/BRB,2017,9.95
country/BRB,2018,10.05
country/BRB,2019,10.088
country/BRB,2020,21.121
country/BRB,2021,14.358
country/BRB,2022,10.184
country/BRB,2023,10.124
country/BRB,2024,9.851
country/BRB,2025,9.826
country/BRB,2026,9.659
country/BRB,2027,9.689
country/BRB,2028,9.718
country/BLZ,1990,15.0
country/BLZ,1991,14.0
country/BLZ,1992,12.0
country/BLZ,1993,10.0
country/BLZ,1994,9.0
country/BLZ,1995,12.5
country/BLZ,1996,13.8
country/BLZ,1997,12.7
country/BLZ,1998,14.3
country/BLZ,1999,12.8
country/BLZ,2000,11.4
country/BLZ,2001,11.4
country/BLZ,2002,10.0
country/BLZ,2003,12.9
country/BLZ,2004,11.6
country/BLZ,2005,11.0
country/BLZ,2006,9.4
country/BLZ,2007,10.3
country/BLZ,2008,8.2
country/BLZ,2009,12.827
country/BLZ,2010,18.515
country/BLZ,2011,16.726
country/BLZ,2012,15.275
country/BLZ,2013,12.926
country/BLZ,2014,11.6
country/BLZ,2015,10.143
country/BLZ,2016,9.541
country/BLZ,2017,9.328
country/BLZ,2018,9.377
country/BLZ,2019,9.041
country/BLZ,2020,13.743
country/BLZ,2021,10.188
country/BLZ,2022,6.071
country/BLZ,2023,2.8
country/BLZ,2024,2.8
country/BLZ,2025,2.8
country/BLZ,2026,2.8
country/BLZ,2027,2.8
country/BLZ,2028,2.8
country/JAM,1980,27.262
country/JAM,1981,25.941
country/JAM,1982,27.577
country/JAM,1983,26.378
country/JAM,1984,25.512
country/JAM,1985,25.01
country/JAM,1986,23.654
country/JAM,1987,20.968
country/JAM,1988,19.089
country/JAM,1989,15.2
country/JAM,1990,15.7
country/JAM,1991,15.4
country/JAM,1992,15.7
country/JAM,1993,16.3
country/JAM,1994,15.4
country/JAM,1995,16.2
country/JAM,1996,16.0
country/JAM,1997,16.5
country/JAM,1998,15.5
country/JAM,1999,15.7
country/JAM,2000,15.5
country/JAM,2001,15.0
country/JAM,2002,14.2
country/JAM,2003,11.8
country/JAM,2004,12.2
country/JAM,2005,11.225
country/JAM,2006,10.325
country/JAM,2007,9.85
country/JAM,2008,10.575
country/JAM,2009,11.35
country/JAM,2010,12.375
country/JAM,2011,12.4
country/JAM,2012,13.925
country/JAM,2013,15.275
country/JAM,2014,13.75
country/JAM,2015,13.5
country/JAM,2016,13.2
country/JAM,2017,11.65
country/JAM,2018,9.125
country/JAM,2019,7.7
country/JAM,2020,10.2
country/JAM,2021,8.375
country/PRI,1980,17.1
country/PRI,1981,19.8
country/PRI,1982,22.8
country/PRI,1983,23.4
country/PRI,1984,20.7
country/PRI,1985,21.8
country/PRI,1986,18.9
country/PRI,1987,16.8
country/PRI,1988,15.0
country/PRI,1989,14.6
country/PRI,1990,14.2
country/PRI,1991,16.0
country/PRI,1992,16.7
country/PRI,1993,17.0
country/PRI,1994,14.6
country/PRI,1995,13.7
country/PRI,1996,13.4
country/PRI,1997,13.5
country/PRI,1998,13.3
country/PRI,1999,11.7
country/PRI,2000,10.1
country/PRI,2001,11.4
country/PRI,2002,12.3
country/PRI,2003,12.0
country/PRI,2004,10.6
country/PRI,2005,11.3
country/PRI,2006,10.5
country/PRI,2007,11.2
country/PRI,2008,11.8
country/PRI,2009,15.3
country/PRI,2010,16.4
country/PRI,2011,15.9
country/PRI,2012,14.5
country/PRI,2013,14.3
country/PRI,2014,13.9
country/PRI,2015,12.1
country/PRI,2016,11.8
country/PRI,2017,10.8
country/PRI,2018,9.2
country/PRI,2019,8.3
country/PRI,2020,8.8
country/PRI,2021,8.1
country/PRI,2022,6.2
country/PRI,2023,6.75
country/PRI,2024,6.575
country/PRI,2025,6.45
country/PRI,2026,6.025
country/PRI,2027,5.9
country/PRI,2028,6.125
country/SUR,1994,12.373
country/SUR,1995,8.418
country/SUR,1996,10.936
country/SUR,1997,9.839
country/SUR,1998,10.626
country/SUR,1999,12.0
country/SUR,2000,13.767
country/SUR,2001,13.729
country/SUR,2002,9.658
country/SUR,2003,6.549
country/SUR,2004,8.383
country/SUR,2005,11.084
country/SUR,2006,12.281
country/SUR,2007,10.682
country/SUR,2008,9.361
country/SUR,2009,8.711
country/SUR,2010,7.2
country/SUR,2011,7.5
country/SUR,2012,8.1
country/SUR,2013,6.6
country/SUR,2014,5.5
country/SUR,2015,7.0
country/SUR,2016,10.0
country/SUR,2017,7.0
country/SUR,2018,9.0
country/SUR,2019,8.809
country/SUR,2020,11.147
country/SUR,2021,11.2
country/SUR,2022,10.9
country/SUR,2023,10.6
country/SUR,2024,10.3
country/SUR,2025,10.0
country/SUR,2026,9.9
country/SUR,2027,9.076
country/SUR,2028,8.555
country/BHR,2007,5.6
country/BHR,2008,3.7
country/BHR,2009,4.0
country/BHR,2010,3.6
country/BHR,2011,4.0
country/BHR,2012,3.7
country/BHR,2013,4.3
country/BHR,2014,3.8
country/BHR,2015,3.5
country/BHR,2016,4.3
country/BHR,2017,4.1
country/BHR,2018,4.3
country/BHR,2019,4.7
country/BHR,2020,5.9
country/BHR,2021,5.9
country/BHR,2022,5.4
country/CYP,1982,2.8
country/CYP,1983,3.3
country/CYP,1984,3.3
country/CYP,1985,3.3
country/CYP,1986,3.7
country/CYP,1987,3.4
country/CYP,1988,2.8
country/CYP,1989,2.3
country/CYP,1990,1.8
country/CYP,1991,3.0
country/CYP,1992,1.825
country/CYP,1993,2.7
country/CYP,1994,2.7
country/CYP,1995,2.6
country/CYP,1996,3.1
country/CYP,1997,3.4
country/CYP,1998,3.4
country/CYP,1999,3.6
country/CYP,2000,4.842
country/CYP,2001,3.925
country/CYP,2002,3.517
country/CYP,2003,4.108
country/CYP,2004,4.625
country/CYP,2005,5.3
country/CYP,2006,4.55
country/CYP,2007,3.925
country/CYP,2008,3.65
country/CYP,2009,5.325
country/CYP,2010,6.275
country/CYP,2011,7.85
country/CYP,2012,11.8
country/CYP,2013,15.85
country/CYP,2014,16.075
country/CYP,2015,14.9
country/CYP,2016,12.95
country/CYP,2017,11.05
country/CYP,2018,8.35
country/CYP,2019,7.075
country/CYP,2020,7.575
country/CYP,2021,7.475
country/CYP,2022,6.775
country/CYP,2023,6.69
country/CYP,2024,6.412
country/CYP,2025,6.134
country/CYP,2026,5.855
country/CYP,2027,5.668
country/CYP,2028,5.481
country/IRN,1990,14.2
country/IRN,1991,10.0
country/IRN,1992,10.0
country/IRN,1993,10.0
country/IRN,1994,10.0
country/IRN,1995,10.0
country/IRN,1996,9.085
country/IRN,1997,11.897
country/IRN,1998,13.569
country/IRN,1999,15.777
country/IRN,2000,16.046
country/IRN,2001,16.626
country/IRN,2002,12.2
country/IRN,2003,11.3
country/IRN,2004,12.3
country/IRN,2005,11.5
country/IRN,2006,11.3
country/IRN,2007,10.5
country/IRN,2008,10.4
country/IRN,2009,11.9
country/IRN,2010,13.5
country/IRN,2011,12.3
country/IRN,2012,12.1
country/IRN,2013,10.4
country/IRN,2014,10.6
country/IRN,2015,11.0
country/IRN,2016,12.425
country/IRN,2017,12.075
country/IRN,2018,12.125
country/IRN,2019,10.65
country/IRN,2020,9.6
country/IRN,2021,9.175
country/IRN,2022,9.32
country/IRN,2023,9.424
country/IRN,2024,9.639
country/IRN,2025,9.773
country/IRN,2026,9.834
country/IRN,2027,9.807
country/IRN,2028,9.779
country/ISR,1980,4.78
country/ISR,1981,5.115
country/ISR,1982,5.048
country/ISR,1983,4.562
country/ISR,1984,5.893
country/ISR,1985,6.693
country/ISR,1986,7.078
country/ISR,1987,6.057
country/ISR,1988,6.428
country/ISR,1989,8.881
country/ISR,1990,9.567
country/ISR,1991,10.585
country/ISR,1992,11.155
country/ISR,1993,10.015
country/ISR,1994,7.828
country/ISR,1995,6.863
country/ISR,1996,8.325
country/ISR,1997,9.525
country/ISR,1998,10.675
country/ISR,1999,11.075
country/ISR,2000,10.9
country/ISR,2001,11.625
country/ISR,2002,12.875
country/ISR,2003,13.4
country/ISR,2004,12.9
country/ISR,2005,11.2
country/ISR,2006,10.45
country/ISR,2007,9.15
country/ISR,2008,7.65
country/ISR,2009,9.425
country/ISR,2010,8.25
country/ISR,2011,7.05
country/ISR,2012,6.85
country/ISR,2013,6.208
country/ISR,2014,5.883
country/ISR,2015,5.25
country/ISR,2016,4.825
country/ISR,2017,4.225
country/ISR,2018,3.992
country/ISR,2019,3.817
country/ISR,2020,4.292
country/ISR,2021,4.95
country/ISR,2022,3.75
country/ISR,2023,3.533
country/ISR,2024,3.879
country/ISR,2025,4.0
country/ISR,2026,4.0
country/ISR,2027,4.0
country/ISR,2028,4.0
country/JOR,1984,5.361
country/JOR,1985,5.976
country/JOR,1986,8.037
country/JOR,1987,8.391
country/JOR,1988,8.805
country/JOR,1989,10.282
country/JOR,1990,16.8
country/JOR,1991,18.8
country/JOR,1992,17.6
country/JOR,1993,19.6
country/JOR,1994,15.8
country/JOR,1995,15.4
country/JOR,1996,13.1
country/JOR,1997,14.4
country/JOR,1998,13.5
country/JOR,1999,14.38
country/JOR,2000,13.706
country/JOR,2001,14.691
country/JOR,2002,15.325
country/JOR,2003,14.439
country/JOR,2004,14.7
country/JOR,2005,14.844
country/JOR,2006,14.058
country/JOR,2007,12.7
country/JOR,2008,12.65
country/JOR,2009,12.85
country/JOR,2010,12.475
country/JOR,2011,12.875
country/JOR,2012,12.15
country/JOR,2013,12.6
country/JOR,2014,11.875
country/JOR,2015,13.075
country/JOR,2016,15.275
country/JOR,2017,18.3
country/JOR,2018,18.6
country/JOR,2019,19.075
country/JOR,2020,22.7
country/JOR,2021,24.075
country/JOR,2022,22.85
country/KWT,2002,1.8
country/KWT,2003,1.8
country/KWT,2004,1.94
country/KWT,2005,2.08
country/KWT,2006,2.22
country/KWT,2007,2.36
country/KWT,2008,2.5
country/KWT,2009,2.567
country/KWT,2010,2.633
country/KWT,2011,2.7
country/KWT,2012,2.767
country/KWT,2013,2.833
country/KWT,2014,2.9
country/KWT,2015,2.2
country/KWT,2016,2.2
country/KWT,2017,2.2
country/KWT,2018,2.2
country/KWT,2019,2.2
country/KWT,2020,2.2
country/KWT,2021,2.2
country/KWT,2022,2.2
country/KWT,2023,2.2
country/KWT,2024,2.2
country/KWT,2025,2.2
country/KWT,2026,2.2
country/KWT,2027,2.2
country/KWT,2028,2.2
country/SAU,1999,4.345
country/SAU,2000,4.571
country/SAU,2001,4.617
country/SAU,2002,5.265
country/SAU,2003,5.562
country/SAU,2004,5.822
country/SAU,2005,6.051
country/SAU,2006,6.254
country/SAU,2007,5.645
country/SAU,2008,5.176
country/SAU,2009,5.377
country/SAU,2010,5.548
country/SAU,2011,5.772
country/SAU,2012,5.524
country/SAU,2013,5.568
country/SAU,2014,5.721
country/SAU,2015,5.591
country/SAU,2016,5.6
country/SAU,2017,5.9
country/SAU,2018,6.025
country/SAU,2019,5.625
country/SAU,2020,7.65
country/SAU,2021,6.6
country/SAU,2022,5.6
country/SYR,1997,16.761
country/SYR,1998,12.405
country/SYR,1999,13.462
country/SYR,2000,13.483
country/SYR,2001,8.171
country/SYR,2002,11.672
country/SYR,2003,10.781
country/SYR,2004,12.288
country/SYR,2005,8.089
country/SYR,2006,8.182
country/SYR,2007,8.406
country/SYR,2008,10.924
country/SYR,2009,8.139
country/SYR,2010,8.613
country/EGY,1990,8.044
country/EGY,1991,8.791
country/EGY,1992,8.952
country/EGY,1993,10.911
country/EGY,1994,11.143
country/EGY,1995,11.176
country/EGY,1996,9.467
country/EGY,1997,8.671
country/EGY,1998,7.955
country/EGY,1999,7.692
country/EGY,2000,8.995
country/EGY,2001,8.808
country/EGY,2002,10.05
country/EGY,2003,11.275
country/EGY,2004,10.526
country/EGY,2005,11.468
country/EGY,2006,10.917
country/EGY,2007,9.205
country/EGY,2008,8.676
country/EGY,2009,9.367
country/EGY,2010,9.21
country/EGY,2011,10.379
country/EGY,2012,12.373
country/EGY,2013,12.992
country/EGY,2014,13.365
country/EGY,2015,12.859
country/EGY,2016,12.705
country/EGY,2017,12.245
country/EGY,2018,10.932
country/EGY,2019,8.612
country/EGY,2020,8.296
country/EGY,2021,7.292
country/EGY,2022,7.323
country/EGY,2023,7.055
country/EGY,2024,7.452
country/EGY,2025,7.069
country/EGY,2026,7.116
country/EGY,2027,6.936
country/EGY,2028,6.679
country/PSE,1993,18.6
country/PSE,1994,18.6
country/PSE,1995,18.713
country/PSE,1996,23.529
country/PSE,1997,20.1
country/PSE,1998,14.219
country/PSE,1999,11.844
country/PSE,2000,14.3
country/PSE,2001,25.3
country/PSE,2002,31.2
country/PSE,2003,25.5
country/PSE,2004,26.8
country/PSE,2005,23.5
country/PSE,2006,23.7
country/PSE,2007,21.7
country/PSE,2008,26.6
country/PSE,2009,24.5
country/PSE,2010,23.7
country/PSE,2011,20.9
country/PSE,2012,23.0
country/PSE,2013,23.4
country/PSE,2014,26.9
country/PSE,2015,25.9
country/PSE,2016,26.9
country/PSE,2017,25.45
country/PSE,2018,26.25
country/PSE,2019,25.35
country/PSE,2020,25.925
country/PSE,2021,26.392
country/PSE,2022,24.42
country/PSE,2023,24.17
country/PSE,2024,23.97
country/PSE,2025,23.97
country/PSE,2026,23.97
country/PSE,2027,23.97
country/PSE,2028,23.97
country/BTN,2003,1.8
country/BTN,2004,2.5
country/BTN,2005,3.1
country/BTN,2006,3.2
country/BTN,2007,3.7
country/BTN,2008,3.85
country/BTN,2009,4.0
country/BTN,2010,3.3
country/BTN,2011,3.1
country/BTN,2012,2.1
country/BTN,2013,2.9
country/BTN,2014,2.6
country/BTN,2015,2.5
country/BTN,2016,2.1
country/BTN,2017,3.138
country/BTN,2018,3.4
country/BTN,2019,2.72
country/BTN,2020,5.03
country/BTN,2021,4.8
country/BTN,2022,5.9
country/BRN,2011,9.3
country/BRN,2012,8.5
country/BRN,2013,7.7
country/BRN,2014,6.9
country/BRN,2015,7.7
country/BRN,2016,8.5
country/BRN,2017,9.3
country/BRN,2018,8.7
country/BRN,2019,6.82
country/BRN,2020,7.3
country/BRN,2021,4.91
country/BRN,2022,5.2
country/BRN,2023,4.9
country/BRN,2024,4.9
country/BRN,2025,4.9
country/BRN,2026,4.9
country/BRN,2027,4.9
country/BRN,2028,4.9
country/LKA,1990,15.897
country/LKA,1991,14.665
country/LKA,1992,14.566
country/LKA,1993,13.777
country/LKA,1994,13.127
country/LKA,1995,12.267
country/LKA,1996,11.294
country/LKA,1997,10.501
country/LKA,1998,9.174
country/LKA,1999,8.857
country/LKA,2000,7.573
country/LKA,2001,7.9
country/LKA,2002,8.8
country/LKA,2003,8.4
country/LKA,2004,8.3
country/LKA,2005,7.7
country/LKA,2006,6.6
country/LKA,2007,6.2
country/LKA,2008,6.0
country/LKA,2009,5.9
country/LKA,2010,5.0
country/LKA,2011,4.1
country/LKA,2012,4.0
country/LKA,2013,4.4
country/LKA,2014,4.3
country/LKA,2015,4.7
country/LKA,2016,4.4
country/LKA,2017,4.2
country/LKA,2018,4.4
country/LKA,2019,4.8
country/LKA,2020,5.5
country/LKA,2021,5.1
country/LKA,2022,5.25
country/TWN,1980,1.23
country/TWN,1981,1.36
country/TWN,1982,2.14
country/TWN,1983,2.71
country/TWN,1984,2.45
country/TWN,1985,2.91
country/TWN,1986,2.66
country/TWN,1987,1.97
country/TWN,1988,1.69
country/TWN,1989,1.57
country/TWN,1990,1.67
country/TWN,1991,1.51
country/TWN,1992,1.51
country/TWN,1993,1.45
country/TWN,1994,1.56
country/TWN,1995,1.79
country/TWN,1996,2.6
country/TWN,1997,2.72
country/TWN,1998,2.69
country/TWN,1999,2.92
country/TWN,2000,2.99
country/TWN,2001,4.57
country/TWN,2002,5.17
country/TWN,2003,4.99
country/TWN,2004,4.44
country/TWN,2005,4.13
country/TWN,2006,3.91
country/TWN,2007,3.91
country/TWN,2008,4.14
country/TWN,2009,5.85
country/TWN,2010,5.21
country/TWN,2011,4.39
country/TWN,2012,4.24
country/TWN,2013,4.18
country/TWN,2014,3.96
country/TWN,2015,3.78
country/TWN,2016,3.92
country/TWN,2017,3.76
country/TWN,2018,3.71
country/TWN,2019,3.73
country/TWN,2020,3.85
country/TWN,2021,3.95
country/TWN,2022,3.66
country/TWN,2023,3.66
country/TWN,2024,3.66
country/TWN,2025,3.66
country/TWN,2026,3.66
country/TWN,2027,3.66
country/TWN,2028,3.66
country/HKG,1980,3.8
country/HKG,1981,3.9
country/HKG,1982,3.522
country/HKG,1983,4.35
country/HKG,1984,3.875
country/HKG,1985,3.182
country/HKG,1986,2.819
country/HKG,1987,1.737
country/HKG,1988,1.365
country/HKG,1989,1.079
country/HKG,1990,1.332
country/HKG,1991,1.797
country/HKG,1992,1.959
country/HKG,1993,1.971
country/HKG,1994,1.919
country/HKG,1995,3.186
country/HKG,1996,2.765
country/HKG,1997,2.201
country/HKG,1998,4.704
country/HKG,1999,6.251
country/HKG,2000,4.946
country/HKG,2001,5.086
country/HKG,2002,7.32
country/HKG,2003,7.94
country/HKG,2004,6.809
country/HKG,2005,5.591
country/HKG,2006,4.79
country/HKG,2007,4.011
country/HKG,2008,3.519
country/HKG,2009,5.262
country/HKG,2010,4.329
country/HKG,2011,3.421
country/HKG,2012,3.286
country/HKG,2013,3.401
country/HKG,2014,3.296
country/HKG,2015,3.315
country/HKG,2016,3.393
country/HKG,2017,3.124
country/HKG,2018,2.805
country/HKG,2019,2.916
country/HKG,2020,5.808
country/HKG,2021,5.175
country/HKG,2022,4.319
country/HKG,2023,3.171
country/HKG,2024,3.084
country/HKG,2025,3.007
country/HKG,2026,2.929
country/HKG,2027,2.852
country/HKG,2028,2.774
country/IDN,1984,1.62
country/IDN,1985,2.22
country/IDN,1986,2.75
country/IDN,1987,2.64
country/IDN,1988,2.89
country/IDN,1989,2.86
country/IDN,1990,2.59
country/IDN,1991,2.67
country/IDN,1992,2.79
country/IDN,1993,2.83
country/IDN,1994,4.47
country/IDN,1995,7.42
country/IDN,1996,4.998
country/IDN,1997,4.77
country/IDN,1998,5.46
country/IDN,1999,6.36
country/IDN,2000,6.08
country/IDN,2001,8.1
country/IDN,2002,9.06
country/IDN,2003,9.67
country/IDN,2004,9.86
country/IDN,2005,11.24
country/IDN,2006,10.28
country/IDN,2007,9.11
country/IDN,2008,8.39
country/IDN,2009,7.87
country/IDN,2010,7.14
country/IDN,2011,6.56
country/IDN,2012,6.14
country/IDN,2013,6.25
country/IDN,2014,5.94
country/IDN,2015,6.18
country/IDN,2016,5.61
country/IDN,2017,5.5
country/IDN,2018,5.24
country/IDN,2019,5.18
country/IDN,2020,7.07
country/IDN,2021,6.49
country/IDN,2022,5.86
country/IDN,2023,5.3
country/IDN,2024,5.2
country/IDN,2025,5.1
country/IDN,2026,5.1
country/IDN,2027,5.1
country/IDN,2028,5.1
country/KOR,1980,5.2
country/KOR,1981,4.5
country/KOR,1982,4.133
country/KOR,1983,4.117
country/KOR,1984,3.85
country/KOR,1985,4.025
country/KOR,1986,3.842
country/KOR,1987,3.108
country/KOR,1988,2.525
country/KOR,1989,2.583
country/KOR,1990,2.458
country/KOR,1991,2.45
country/KOR,1992,2.525
country/KOR,1993,2.9
country/KOR,1994,2.475
country/KOR,1995,2.067
country/KOR,1996,2.058
country/KOR,1997,2.617
country/KOR,1998,6.95
country/KOR,1999,6.583
country/KOR,2000,4.425
country/KOR,2001,4.0
country/KOR,2002,3.258
country/KOR,2003,3.55
country/KOR,2004,3.658
country/KOR,2005,3.75
country/KOR,2006,3.475
country/KOR,2007,3.258
country/KOR,2008,3.175
country/KOR,2009,3.633
country/KOR,2010,3.708
country/KOR,2011,3.408
country/KOR,2012,3.225
country/KOR,2013,3.1
country/KOR,2014,3.492
country/KOR,2015,3.592
country/KOR,2016,3.675
country/KOR,2017,3.683
country/KOR,2018,3.833
country/KOR,2019,3.783
country/KOR,2020,3.942
country/KOR,2021,3.675
country/KOR,2022,2.883
country/KOR,2023,2.675
country/KOR,2024,3.2
country/KOR,2025,3.251
country/KOR,2026,3.223
country/KOR,2027,3.208
country/KOR,2028,3.205
country/MAC,2001,6.375
country/MAC,2002,6.275
country/MAC,2003,6.05
country/MAC,2004,4.875
country/MAC,2005,4.15
country/MAC,2006,3.775
country/MAC,2007,3.05
country/MAC,2008,3.025
country/MAC,2009,3.55
country/MAC,2010,2.825
country/MAC,2011,2.575
country/MAC,2012,2.0
country/MAC,2013,1.85
country/MAC,2014,1.7
country/MAC,2015,1.825
country/MAC,2016,1.9
country/MAC,2017,1.975
country/MAC,2018,1.8
country/MAC,2019,1.725
country/MAC,2020,2.55
country/MAC,2021,2.95
country/MAC,2022,3.0
country/MAC,2023,2.65
country/MAC,2024,2.5
country/MAC,2025,2.3
country/MAC,2026,2.1
country/MAC,2027,1.88
country/MAC,2028,1.88
country/MYS,1985,6.893
country/MYS,1986,8.261
country/MYS,1987,8.207
country/MYS,1988,8.079
country/MYS,1989,6.715
country/MYS,1990,5.055
country/MYS,1991,4.345
country/MYS,1992,3.718
country/MYS,1993,3.026
country/MYS,1994,2.947
country/MYS,1995,3.143
country/MYS,1996,2.516
country/MYS,1997,2.445
country/MYS,1998,3.225
country/MYS,1999,3.425
country/MYS,2000,3.1
country/MYS,2001,3.675
country/MYS,2002,3.475
country/MYS,2003,3.6
country/MYS,2004,3.55
country/MYS,2005,3.55
country/MYS,2006,3.325
country/MYS,2007,3.225
country/MYS,2008,3.325
country/MYS,2009,3.675
country/MYS,2010,3.3
country/MYS,2011,3.05
country/MYS,2012,3.025
country/MYS,2013,3.1
country/MYS,2014,2.875
country/MYS,2015,3.15
country/MYS,2016,3.45
country/MYS,2017,3.425
country/MYS,2018,3.325
country/MYS,2019,3.275
country/MYS,2020,4.525
country/MYS,2021,4.65
country/MYS,2022,3.825
country/MYS,2023,3.625
country/MYS,2024,3.525
country/MYS,2025,3.525
country/MYS,2026,3.525
country/MYS,2027,3.525
country/MYS,2028,3.525
country/PAK,1983,3.85
country/PAK,1984,3.75
country/PAK,1985,3.65
country/PAK,1986,3.3
country/PAK,1987,3.071
country/PAK,1988,3.142
country/PAK,1989,3.141
country/PAK,1990,3.13
country/PAK,1991,5.85
country/PAK,1992,5.85
country/PAK,1993,4.73
country/PAK,1994,4.84
country/PAK,1995,5.37
country/PAK,1996,5.37
country/PAK,1997,6.12
country/PAK,1998,5.89
country/PAK,1999,5.89
country/PAK,2000,7.82
country/PAK,2001,7.82
country/PAK,2002,8.27
country/PAK,2003,8.27
country/PAK,2004,7.69
country/PAK,2005,7.69
country/PAK,2006,6.2
country/PAK,2007,5.2
country/PAK,2008,5.2
country/PAK,2009,5.46
country/PAK,2010,5.55
country/PAK,2011,5.95
country/PAK,2012,5.95
country/PAK,2013,5.975
country/PAK,2014,6.0
country/PAK,2015,5.9
country/PAK,2016,5.88
country/PAK,2017,5.832
country/PAK,2018,5.8
country/PAK,2019,6.9
country/PAK,2020,6.562
country/PAK,2021,6.3
country/PAK,2022,6.2
country/PAK,2023,8.5
country/PAK,2024,8.0
country/PAK,2025,7.5
country/PAK,2026,6.5
country/PAK,2027,5.5
country/PAK,2028,5.0
country/PHL,1985,11.058
country/PHL,1986,11.682
country/PHL,1987,11.062
country/PHL,1988,9.402
country/PHL,1989,9.129
country/PHL,1990,8.4
country/PHL,1991,10.5
country/PHL,1992,9.8
country/PHL,1993,9.275
country/PHL,1994,9.475
country/PHL,1995,9.525
country/PHL,1996,8.525
country/PHL,1997,8.675
country/PHL,1998,10.05
country/PHL,1999,9.725
country/PHL,2000,11.175
country/PHL,2001,11.125
country/PHL,2002,11.4
country/PHL,2003,11.4
country/PHL,2004,11.825
country/PHL,2005,11.35
country/PHL,2006,7.95
country/PHL,2007,7.325
country/PHL,2008,7.4
country/PHL,2009,7.475
country/PHL,2010,7.325
country/PHL,2011,7.025
country/PHL,2012,6.975
country/PHL,2013,7.075
country/PHL,2014,6.8
country/PHL,2015,6.275
country/PHL,2016,5.475
country/PHL,2017,5.725
country/PHL,2018,5.325
country/PHL,2019,5.1
country/PHL,2020,10.4
country/PHL,2021,7.783
country/PHL,2022,5.4
country/PHL,2023,4.667
country/PHL,2024,5.083
country/PHL,2025,5.083
country/PHL,2026,5.083
country/PHL,2027,5.083
country/PHL,2028,5.083
country/SGP,1980,5.751
country/SGP,1981,5.925
country/SGP,1982,6.281
country/SGP,1983,5.57
country/SGP,1984,6.135
country/SGP,1985,4.565
country/SGP,1986,2.012
country/SGP,1987,3.9
country/SGP,1988,2.575
country/SGP,1989,1.775
country/SGP,1990,1.775
country/SGP,1991,1.75
country/SGP,1992,1.8
country/SGP,1993,1.7
country/SGP,1994,1.725
country/SGP,1995,1.75
country/SGP,1996,1.65
country/SGP,1997,1.425
country/SGP,1998,2.5
country/SGP,1999,2.8
country/SGP,2000,2.675
country/SGP,2001,2.65
country/SGP,2002,3.55
country/SGP,2003,3.95
country/SGP,2004,3.35
country/SGP,2005,3.125
country/SGP,2006,2.65
country/SGP,2007,2.125
country/SGP,2008,2.225
country/SGP,2009,3.025
country/SGP,2010,2.175
country/SGP,2011,2.025
country/SGP,2012,1.95
country/SGP,2013,1.9
country/SGP,2014,1.95
country/SGP,2015,1.9
country/SGP,2016,2.075
country/SGP,2017,2.175
country/SGP,2018,2.1
country/SGP,2019,2.25
country/SGP,2020,3.0
country/SGP,2021,2.65
country/SGP,2022,2.1
country/SGP,2023,1.8
country/SGP,2024,1.8
country/SGP,2025,1.8
country/SGP,2026,1.8
country/SGP,2027,1.8
country/SGP,2028,1.7
country/THA,2001,3.3
country/THA,2002,2.4
country/THA,2003,2.2
country/THA,2004,2.1
country/THA,2005,1.9
country/THA,2006,1.5
country/THA,2007,1.4
country/THA,2008,1.4
country/THA,2009,1.5
country/THA,2010,1.0
country/THA,2011,0.7
country/THA,2012,0.7
country/THA,2013,0.7
country/THA,2014,0.8
country/THA,2015,0.9
country/THA,2016,1.0
country/THA,2017,1.2
country/THA,2018,1.1
country/THA,2019,1.0
country/THA,2020,1.7
country/THA,2021,1.9
country/THA,2022,1.3
country/THA,2023,1.2
country/THA,2024,1.1
country/THA,2025,1.0
country/THA,2026,1.0
country/THA,2027,1.0
country/THA,2028,1.0
country/VNM,1990,12.327
country/VNM,1991,10.393
country/VNM,1992,11.0
country/VNM,1993,10.6
country/VNM,1994,10.3
country/VNM,1995,5.82
country/VNM,1996,5.88
country/VNM,1997,6.01
country/VNM,1998,6.85
country/VNM,1999,6.74
country/VNM,2000,6.42
country/VNM,2001,6.28
country/VNM,2002,6.01
country/VNM,2003,5.78
country/VNM,2004,5.6
country/VNM,2005,5.31
country/VNM,2006,4.82
country/VNM,2007,4.64
country/VNM,2008,2.38
country/VNM,2009,2.9
country/VNM,2010,2.88
country/VNM,2011,2.22
country/VNM,2012,1.96
country/VNM,2013,2.18
country/VNM,2014,2.1
country/VNM,2015,2.33
country/VNM,2016,2.3
country/VNM,2017,2.24
country/VNM,2018,2.19
country/VNM,2019,2.17
country/VNM,2020,2.48
country/VNM,2021,3.2
country/VNM,2022,2.32
country/VNM,2023,2.094
country/VNM,2024,2.063
country/VNM,2025,2.03
country/VNM,2026,1.998
country/VNM,2027,1.965
country/VNM,2028,1.933
country/DZA,1980,15.789
country/DZA,1981,15.385
country/DZA,1982,15.0
country/DZA,1983,14.286
country/DZA,1984,16.536
country/DZA,1985,16.901
country/DZA,1986,18.356
country/DZA,1987,20.056
country/DZA,1988,21.801
country/DZA,1989,18.1
country/DZA,1990,19.757
country/DZA,1991,20.263
country/DZA,1992,21.368
country/DZA,1993,23.152
country/DZA,1994,24.362
country/DZA,1995,28.105
country/DZA,1996,27.986
country/DZA,1997,27.961
country/DZA,1998,28.021
country/DZA,1999,29.293
