dcid,Name,Description,Override_Alternatives,Curated_Alternatives
sdg/SG_HAZ_CMRROTDAM,"Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals","Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals",,
sdg/SG_HAZ_CMRSTHOLM,"Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals","Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals",,
sdg/SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_ADB,Proportion of members of developing countries in international organizations [Name of international institution = Asian Development Bank],Proportion of members of developing countries in international organizations [Name of international institution = Asian Development Bank],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_AFDB,Proportion of members of developing countries in international organizations [Name of international institution = African Development Bank],Proportion of members of developing countries in international organizations [Name of international institution = African Development Bank],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_ECOSOC,Proportion of members of developing countries in international organizations [Name of international institution = UN Economic and Social Council],Proportion of members of developing countries in international organizations [Name of international institution = UN Economic and Social Council],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_FSB,Proportion of members of developing countries in international organizations [Name of international institution = Financial Stability Board],Proportion of members of developing countries in international organizations [Name of international institution = Financial Stability Board],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IADB,Proportion of members of developing countries in international organizations [Name of international institution = Inter-American Development Bank],Proportion of members of developing countries in international organizations [Name of international institution = Inter-American Development Bank],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IBRD,Proportion of members of developing countries in international organizations [Name of international institution = International Bank for Reconstruction and Development],Proportion of members of developing countries in international organizations [Name of international institution = International Bank for Reconstruction and Development],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IFC,Proportion of members of developing countries in international organizations [Name of international institution = International Finance Corporation],Proportion of members of developing countries in international organizations [Name of international institution = International Finance Corporation],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IMF,Proportion of members of developing countries in international organizations [Name of international institution = International Monetary Fund],Proportion of members of developing countries in international organizations [Name of international institution = International Monetary Fund],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_UNGA,Proportion of members of developing countries in international organizations [Name of international institution = UN General Assembly],Proportion of members of developing countries in international organizations [Name of international institution = UN General Assembly],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_UNSC,Proportion of members of developing countries in international organizations [Name of international institution = UN Security Council],Proportion of members of developing countries in international organizations [Name of international institution = UN Security Council],,
sdg/SG_INT_MBRDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_WTO,Proportion of members of developing countries in international organizations [Name of international institution = World Trade Organisation],Proportion of members of developing countries in international organizations [Name of international institution = World Trade Organisation],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_ADB,Proportion of voting rights of developing countries in international organizations [Name of international institution = Asian Development Bank],Proportion of voting rights of developing countries in international organizations [Name of international institution = Asian Development Bank],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_AFDB,Proportion of voting rights of developing countries in international organizations [Name of international institution = African Development Bank],Proportion of voting rights of developing countries in international organizations [Name of international institution = African Development Bank],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_ECOSOC,Proportion of voting rights of developing countries in international organizations [Name of international institution = UN Economic and Social Council],Proportion of voting rights of developing countries in international organizations [Name of international institution = UN Economic and Social Council],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_FSB,Proportion of voting rights of developing countries in international organizations [Name of international institution = Financial Stability Board],Proportion of voting rights of developing countries in international organizations [Name of international institution = Financial Stability Board],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IADB,Proportion of voting rights of developing countries in international organizations [Name of international institution = Inter-American Development Bank],Proportion of voting rights of developing countries in international organizations [Name of international institution = Inter-American Development Bank],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IBRD,Proportion of voting rights of developing countries in international organizations [Name of international institution = International Bank for Reconstruction and Development],Proportion of voting rights of developing countries in international organizations [Name of international institution = International Bank for Reconstruction and Development],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IFC,Proportion of voting rights of developing countries in international organizations [Name of international institution = International Finance Corporation],Proportion of voting rights of developing countries in international organizations [Name of international institution = International Finance Corporation],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_IMF,Proportion of voting rights of developing countries in international organizations [Name of international institution = International Monetary Fund],Proportion of voting rights of developing countries in international organizations [Name of international institution = International Monetary Fund],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_UNGA,Proportion of voting rights of developing countries in international organizations [Name of international institution = UN General Assembly],Proportion of voting rights of developing countries in international organizations [Name of international institution = UN General Assembly],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_UNSC,Proportion of voting rights of developing countries in international organizations [Name of international institution = UN Security Council],Proportion of voting rights of developing countries in international organizations [Name of international institution = UN Security Council],,
sdg/SG_INT_VRTDEV.NAME_OF_INTERNATIONAL_INSTITUTION--IO_WTO,Proportion of voting rights of developing countries in international organizations [Name of international institution = World Trade Organisation],Proportion of voting rights of developing countries in international organizations [Name of international institution = World Trade Organisation],,
sdg/SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality -- Area 3: employment and economic benefits","Legal frameworks that promote, enforce and monitor gender equality -- Area 3: employment and economic benefits",,
sdg/SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality -- Area 1: overarching legal frameworks and public life","Legal frameworks that promote, enforce and monitor gender equality -- Area 1: overarching legal frameworks and public life",,
sdg/SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality -- Area 4: marriage and family","Legal frameworks that promote, enforce and monitor gender equality -- Area 4: marriage and family",,
sdg/SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality -- Area 2: violence against women","Legal frameworks that promote, enforce and monitor gender equality -- Area 2: violence against women",,
sdg/SG_LGL_LNDFEMOD,Degree to which the legal framework guarantees women's equal rights to land ownership and/or control,Degree to which the legal framework guarantees women's equal rights to land ownership and/or control,,
sdg/SG_NHR_IMPL,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles,,
sdg/SG_NHR_IMPLN,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status","Countries with National Human Rights Institutions in compliance with the Paris Principles, A status",,
sdg/SG_NHR_INTEXST,Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles,Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles,,
sdg/SG_NHR_INTEXSTN,"Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status","Countries with National Human Rights Institutions not fully compliant with the Paris Principles, B status",,
sdg/SG_NHR_NOAPPLN,"Countries with no application for accreditation with the Paris Principles, D status","Countries with no application for accreditation with the Paris Principles, D status",,
sdg/SG_NHR_NOSTUSN,"Countries with National Human Rights Institutions and no status with the Paris Principles, C status","Countries with National Human Rights Institutions and no status with the Paris Principles, C status",,
sdg/SG_PLN_MSTKSDG_P,"Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Provider","Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Provider",,
sdg/SG_PLN_MSTKSDG_R,"Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient","Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient",,
sdg/SG_PLN_PRPOLRES,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider,,
sdg/SG_PLN_PRVNDI,Proportion of project objectives of new development interventions drawn from country-led result frameworks - data by provider,Proportion of project objectives of new development interventions drawn from country-led result frameworks - data by provider,,
sdg/SG_PLN_PRVRICTRY,Proportion of results indicators drawn from country-led results frameworks - data by provider,Proportion of results indicators drawn from country-led results frameworks - data by provider,,
sdg/SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider,,
sdg/SG_PLN_RECNDI,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,,
sdg/SG_PLN_RECRICTRY,Proportion of results indicators drawn from country-led results frameworks - data by recipient,Proportion of results indicators drawn from country-led results frameworks - data by recipient,,
sdg/SG_PLN_RECRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,,
sdg/SG_PLN_REPOLRES,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,,
sdg/SG_REG_BRTH.AGE--M12T23,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 12 to 23 months],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 12 to 23 months],,
sdg/SG_REG_BRTH.AGE--M24T35,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 24 to 35 months],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 24 to 35 months],,
sdg/SG_REG_BRTH.AGE--M36T47,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 36 to 47 months old],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 36 to 47 months old],,
sdg/SG_REG_BRTH.AGE--M48T59,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 48 to 59 months],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = 48 to 59 months],,
sdg/SG_REG_BRTH.AGE--Y0,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 1 year old],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 1 year old],,
sdg/SG_REG_BRTH.AGE--Y0T4,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 5 years old],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 5 years old],,
sdg/SG_REG_BRTH.AGE--Y0T7,Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 8 years old],Proportion of children under 5 years of age whose births have been registered with a civil authority [Age = under 8 years old],,
sdg/SG_REG_BRTH90,Proportion of countries with birth registration data that are at least 90 percent complete,Proportion of countries with birth registration data that are at least 90 percent complete,,
sdg/SG_REG_BRTH90N,Countries with birth registration data that are at least 90 percent complete,Countries with birth registration data that are at least 90 percent complete,,
sdg/SG_REG_CENSUS,Proportion of countries that have conducted at least one population and housing census in the last 10 years,Proportion of countries that have conducted at least one population and housing census in the last 10 years,,
sdg/SG_REG_CENSUSN,Countries that have conducted at least one population and housing census in the last 10 years,Countries that have conducted at least one population and housing census in the last 10 years,,
sdg/SG_REG_DETH75,Proportion of countries with death registration data that are at least 75 percent complete,Proportion of countries with death registration data that are at least 75 percent complete,,
sdg/SG_REG_DETH75N,Countries with death registration data that are at least 75 percent complete,Countries with death registration data that are at least 75 percent complete,,
sdg/SG_SCP_CNTRY,Countries with sustainable consumption and production national action plans or SCP mainstreamed as a priority or target into national policies,Countries with sustainable consumption and production national action plans or SCP mainstreamed as a priority or target into national policies,,
sdg/SG_SCP_POLINS.POLICY_INSTRUMENTS--POL_ECONFIS,"Countries with policy instrument for sustainable consumption and production [Policy instruments = Economic and fiscal instruments (taxes and tax incentives, grants, preferential loans, etc.) ]","Countries with policy instrument for sustainable consumption and production [Policy instruments = Economic and fiscal instruments (taxes and tax incentives, grants, preferential loans, etc.) ]",,
sdg/SG_SCP_POLINS.POLICY_INSTRUMENTS--POL_MACRO,"Countries with policy instrument for sustainable consumption and production [Policy instruments = Macro policies (e.g. national strategies/action plans, new institutions/entities)]","Countries with policy instrument for sustainable consumption and production [Policy instruments = Macro policies (e.g. national strategies/action plans, new institutions/entities)]",,
sdg/SG_SCP_POLINS.POLICY_INSTRUMENTS--POL_REGLEG,"Countries with policy instrument for sustainable consumption and production [Policy instruments = Regulatory and legal instruments (e.g. laws, standards, enforcement measures)]","Countries with policy instrument for sustainable consumption and production [Policy instruments = Regulatory and legal instruments (e.g. laws, standards, enforcement measures)]",,
sdg/SG_SCP_POLINS.POLICY_INSTRUMENTS--POL_VOLSRG,"Countries with policy instrument for sustainable consumption and production [Policy instruments = Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives)]","Countries with policy instrument for sustainable consumption and production [Policy instruments = Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives)]",,
sdg/SG_SCP_PROCN.LEVEL_STATUS--DEG_HIG,Number of countries implementing sustainable public procurement policies and action plans [Level/Status = High level of implementation],Number of countries implementing sustainable public procurement policies and action plans [Level/Status = High level of implementation],,
sdg/SG_SCP_PROCN.LEVEL_STATUS--DEG_LOW,Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Low level of implementation],Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Low level of implementation],,
sdg/SG_SCP_PROCN.LEVEL_STATUS--DEG_MHIG,Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Medium-high level of implementation],Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Medium-high level of implementation],,
sdg/SG_SCP_PROCN.LEVEL_STATUS--DEG_MLOW,Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Medium-low level of implementation],Number of countries implementing sustainable public procurement policies and action plans [Level/Status = Medium-low level of implementation],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--ARTIGAS,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Artigas],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Artigas],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--CANELONES,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Canelones],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Canelones],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--CERRO_LARGO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Cerro Largo],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Cerro Largo],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--COLONIA,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Colonia],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Colonia],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--FLORES,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Flores],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Flores],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--FLORIDA,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Florida],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Florida],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--GREATER_POLAND_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Greater Poland Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Greater Poland Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--LAVALLEJA,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Lavalleja],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Lavalleja],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--LESSER_POLAND_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Lesser Poland Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Lesser Poland Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--MALDONADO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Maldonado],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Maldonado],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--MONTEVIDEO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Montevideo],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Montevideo],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--PAYSANDU,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Paysand��],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Paysand��],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--PODKARPACKIE_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Podkarpackie Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Podkarpackie Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--RIO_NEGRO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = R��o Negro],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = R��o Negro],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--RIVERA,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Rivera],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Rivera],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--SALTO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Salto],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Salto],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--SAN_JOSE,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = San Jos��],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = San Jos��],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--SWIETOKRZYSKIE_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Swietokrzyskie Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Swietokrzyskie Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--TACUAREMBO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Tacuaremb��],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Tacuaremb��],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--TREINTA_Y_TRES,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Treinta Y Tres],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = Treinta Y Tres],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MHIG__GOVERNMENT_NAME--COMUNIDAD_AUTONOMA_DEL_PAIS_VASCO,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-high level of implementation | Government_Name = Comunidad Aut��noma del Pa��s Vasco],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-high level of implementation | Government_Name = Comunidad Aut��noma del Pa��s Vasco],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MHIG__GOVERNMENT_NAME--VLAAMSE_OVERHEID,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-high level of implementation | Government_Name = Vlaamse overheid (Government of Flanders)],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-high level of implementation | Government_Name = Vlaamse overheid (Government of Flanders)],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--LODZ_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = L��dz Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = L��dz Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--LOWER_SILESIAN_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Lower Silesian Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Lower Silesian Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--MASOVIAN_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Masovian Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Masovian Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--POMERANIAN_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Pomeranian Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Pomeranian Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--SILESIAN_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Silesian Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Silesian Voivodeship],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--STATE_OF_MINNESOTA,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = State of Minnesota],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = State of Minnesota],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--WALLOON_REGION,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Walloon region],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = Walloon region],,
sdg/SG_SCP_PROCN_HS.LEVEL_STATUS--DEG_MLOW__GOVERNMENT_NAME--WEST_POMERANIAN_VOIVODESHIP,Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = West Pomeranian Voivodeship],Number of countries implementing sustainable public procurement policies and action plans at higher subnational level by level of implementation [Level/Status = Medium-low level of implementation | Government_Name = West Pomeranian Voivodeship],,
sdg/SG_SCP_PROCN_LS.LEVEL_STATUS--DEG_HIG__GOVERNMENT_NAME--AYUNTAMIENTO_DE_BARCELONA,Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = High level of implementation | Government_Name = Ayuntamiento de Barcelona],Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = High level of implementation | Government_Name = Ayuntamiento de Barcelona],,
sdg/SG_SCP_PROCN_LS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--CITY_OF_PORTLAND_OREGON,"Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = City of Portland, Oregon]","Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = City of Portland, Oregon]",,
sdg/SG_SCP_PROCN_LS.LEVEL_STATUS--DEG_LOW__GOVERNMENT_NAME--CITY_OF_STAVANGER,Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = City of Stavanger],Number of countries implementing sustainable public procurement policies and action plans at lower subnational level by level of implementation [Level/Status = Low level of implementation | Government_Name = City of Stavanger],,
